pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_msinij,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_radv,st_sp,st_lum,st_metfe,st_acts,st_actr,pl_msinie,pl_disc
HD 28185,b,Radial Velocity,383.00000000,1.030000,0.070000,,5.70000,,,,0,66.609673,-10.550821,39.56,7.810,,,,HD 28185,HIP 20723,49.60,4.55,,,,,1811.55500,2001
HD 28254,b,Radial Velocity,1117.00000000,,,,1.16000,,,,0,66.211273,-50.622192,56.18,7.684,,,,HD 28254,HIP 20606,,4.50,,,,,368.66727,2009
HD 285968,b,Radial Velocity,8.78360000,0.066000,0.000000,,0.02650,,,,0,70.732407,18.958172,9.42,9.980,,,,,HIP 21932,26.20,6.20,,,1.367,,8.42214,2007
HD 28678,b,Radial Velocity,387.10000000,1.240000,0.168000,,1.70000,,,,0,67.856056,4.575287,168.92,8.440,,,,HD 28678,HIP 21109,,4.80,,,,,540.00000,2011
HD 290327,b,Radial Velocity,2443.00000000,,,,2.54000,,,,0,80.839851,-2.277619,54.92,8.944,,,,,HIP 25191,,4.00,,,,,807.25419,2009
HD 30177,b,Radial Velocity,2819.65400000,3.860000,0.300000,,9.17000,,,,0,70.476555,-58.020756,54.71,8.374,,,,HD 30177,HIP 21850,63.10,4.80,,,,,2914.37832,2002
HD 30562,b,Radial Velocity,1157.00000000,2.300000,0.760000,,1.29000,,,,0,72.151604,-5.674045,26.50,5.780,,,,HD 30562,HIP 22336,77.00,4.50,,,0.152,-5.040,409.98343,2009
HD 30856,b,Radial Velocity,912.00000000,2.000000,0.240000,,1.80000,,,,0,72.574425,-24.368839,121.07,7.911,,,,HD 30856,HIP 22491,,5.00,,,,,572.00000,2011
HD 31253,b,Radial Velocity,466.00000000,1.260000,0.300000,,0.50000,,,,0,73.681892,12.352201,53.82,7.133,,,,HD 31253,HIP 22826,12.10,3.80,,,0.141,-5.110,158.90800,2010
HD 31527,b,Radial Velocity,16.54600000,0.125300,0.130000,,0.03630,,,,0,73.909927,-23.241880,38.01,7.484,,,,HD 31527,HIP 22905,25.60,4.20,,,,,11.54000,2011
HD 31527,c,Radial Velocity,51.28400000,0.266500,0.110000,,0.04980,,,,0,73.909927,-23.241880,38.01,7.484,,,,HD 31527,HIP 22905,25.60,4.20,,,,,15.83000,2011
HD 31527,d,Radial Velocity,274.49000000,0.818100,0.380000,,0.05190,,,,0,73.909927,-23.241880,38.01,7.484,,,,HD 31527,HIP 22905,25.60,4.20,,,,,16.49000,2011
HD 32518,b,Radial Velocity,157.54000000,0.590000,0.010000,,3.04000,,,,0,77.403000,69.639404,117.37,6.421,,,,HD 32518,HIP 24003,,5.00,,,,,966.16250,2009
HD 330075,b,Radial Velocity,3.36900000,0.043000,0.000000,,0.76000,,,,0,237.407043,-49.963524,50.20,9.334,,,,,HIP 77517,,4.50,,,,,241.54062,2004
HD 33142,b,Radial Velocity,326.60000000,1.060000,0.220000,,1.30000,,,,0,76.898087,-13.986480,136.80,7.956,,,,HD 33142,HIP 23844,,5.00,,,,,413.00000,2011
HD 33283,b,Radial Velocity,18.17900000,0.168000,0.480000,,0.33000,,,,0,77.004219,-26.797472,86.88,8.051,,,,HD 33283,HIP 23889,4.10,4.40,,,,,104.87948,2006
HD 33564,b,Radial Velocity,388.00000000,1.100000,0.340000,,9.10000,,,,0,80.639717,79.231148,20.98,5.084,,,,HD 33564,HIP 25110,-10.70,3.70,,,0.148,,2892.13116,2005
HD 34445,b,Radial Velocity,1049.00000000,2.070000,0.270000,,0.79000,,,,0,79.420746,7.353343,45.01,7.328,,,,HD 34445,HIP 24681,-79.40,4.00,,,0.154,-5.040,250.00000,2010
HD 3651,b,Radial Velocity,62.21800000,0.295000,0.596000,,0.22900,,,,0,9.840858,21.250473,11.11,5.860,,,,HD 3651,HIP 3093,-33.50,5.00,,,0.169,-5.020,72.80000,2003
HD 37124,b,Radial Velocity,154.46000000,0.530000,0.055000,,0.61000,,,,0,84.260361,20.730787,33.24,7.650,,,,HD 37124,HIP 26381,-23.10,4.00,,,0.179,-4.900,193.86800,1999
HD 37124,c,Radial Velocity,2295.00000000,3.190000,0.200000,,0.68300,,,,0,84.260361,20.730787,33.24,7.650,,,,HD 37124,HIP 26381,-23.10,4.00,,,0.179,-4.900,217.06875,2003
HD 37124,d,Radial Velocity,843.60000000,1.640000,0.140000,,0.62400,,,,0,84.260361,20.730787,33.24,7.650,,,,HD 37124,HIP 26381,-23.10,4.00,,,0.179,-4.900,198.31757,2005
HD 37605,b,Radial Velocity,55.00000000,0.250000,0.677000,,2.30000,,,,0,85.007210,6.060579,42.88,8.661,5448.00,1.00,0.90,HD 37605,HIP 26664,,5.00,-0.229,0.336,,,730.97821,2004
HD 37605,c,Radial Velocity,2720.00000000,3.814000,0.013000,,3.36600,,,,0,85.007210,6.060579,42.88,8.661,5448.00,1.00,0.90,HD 37605,HIP 26664,,5.00,-0.229,0.336,,,1069.77100,2012
HD 38283,b,Radial Velocity,363.20000000,1.020000,0.410000,0.34000,,,,,0,84.258408,-73.699341,37.78,6.696,,,,HD 38283,HIP 26380,61.30,4.05,,,0.158,-4.970,,2011
