pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_msinij,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_radv,st_sp,st_lum,st_metfe,st_acts,st_actr,pl_msinie,pl_disc
Kepler-20,d,Transit,77.61184000,0.345300,0.600000,0.06300,,0.245,4.07000,89.570,0,287.697998,42.338726,,,5443.00,0.90,0.94,,,,,,-0.152,,,,2011
Kepler-20,e,Transit,6.09849300,,0.280000,0.01000,,0.077,,87.500,0,287.697998,42.338726,,,5443.00,0.90,0.94,,,,,,-0.152,,,,2011
Kepler-20,f,Transit,19.57706000,,0.320000,0.04500,,0.092,,88.680,0,287.697998,42.338726,,,5443.00,0.90,0.94,,,,,,-0.152,,,,2011
Kepler-21,b,Transit,2.78575500,0.042507,0.000000,0.03300,,0.146,12.90000,82.580,0,287.361816,38.714016,107.88,8.250,6131.00,,2.04,HD 179070,HIP 94112,-18.90,4.00,,,,,,2011
Kepler-22,b,Transit,289.86230000,0.849000,0.000000,0.11300,,0.212,14.70000,89.764,0,289.217499,47.884464,,,5510.00,,0.85,,,,,,-0.389,,,,2011
Kepler-23,b,Transit,7.10730000,0.075000,,0.80000,,0.170,,,0,294.218933,49.479225,,,5877.00,,1.74,,,,,,-0.326,,,,2012
Kepler-23,c,Transit,10.74210000,0.099000,,2.70000,,0.285,,,0,294.218933,49.479225,,,5877.00,,1.74,,,,,,-0.326,,,,2012
Kepler-24,b,Transit,8.14530000,0.080000,,1.60000,,0.214,,,0,290.413269,38.343754,,,5800.00,,1.10,,,,,,-0.238,,,,2012
Kepler-24,c,Transit,12.33350000,0.106000,,1.60000,,0.250,,,0,290.413269,38.343754,,,5800.00,,1.10,,,,,,-0.238,,,,2012
Kepler-25,b,Transit,6.23850000,0.068000,,12.70000,,0.232,,,0,286.638397,39.487892,,,6103.00,,1.66,,,,,,,,,,2012
Kepler-25,c,Transit,12.72040000,0.110000,,4.16000,,0.401,,,0,286.638397,39.487892,,,6103.00,,1.66,,,,,,,,,,2012
Kepler-26,b,Transit,12.28290000,0.085000,,0.38000,,0.321,,,0,284.941010,46.566540,,,4486.00,0.63,0.58,,,,,,-0.492,,,,2012
Kepler-26,c,Transit,17.25130000,0.107000,,0.37500,,0.321,,,0,284.941010,46.566540,,,4486.00,0.63,0.58,,,,,,-0.492,,,,2012
Kepler-27,b,Transit,15.33480000,0.118000,,9.11000,,0.357,,,0,292.236755,41.085876,,,5399.00,,0.92,,,,,,0.087,,,,2012
Kepler-27,c,Transit,31.33090000,0.191000,,13.80000,,0.437,,,0,292.236755,41.085876,,,5399.00,,0.92,,,,,,0.087,,,,2012
Kepler-28,b,Transit,5.91230000,0.062000,,1.51000,,0.321,,,0,292.137024,42.429420,,,4590.00,,0.74,,,,,,0.337,,,,2012
Kepler-28,c,Transit,8.98580000,0.081000,,1.36000,,0.303,,,0,292.137024,42.429420,,,4590.00,,0.74,,,,,,0.337,,,,2012
Kepler-29,b,Transit,10.33760000,0.090000,,0.40000,,0.321,,,0,298.348328,47.491226,,,5711.00,,0.86,,,,,,-0.225,,,,2012
Kepler-29,c,Transit,13.29070000,0.110000,,0.30000,,0.259,,,0,298.348328,47.491226,,,5711.00,,0.86,,,,,,-0.225,,,,2012
Kepler-30,b,Transit,29.33434000,0.180000,0.042000,0.03600,,0.348,1.02000,90.179,0,285.283630,38.947281,,,5461.00,,0.94,,,,,,-0.100,,,,2012
Kepler-30,c,Transit,60.32310500,0.300000,0.011100,2.01000,,1.097,1.88000,90.323,0,285.283630,38.947281,,,5461.00,,0.94,,,,,,-0.100,,,,2012
Kepler-30,d,Transit,143.34394000,0.500000,0.022000,0.07300,,0.785,0.19000,89.841,0,285.283630,38.947281,,,5461.00,,0.94,,,,,,-0.100,,,,2012
Kepler-31,b,Transit,20.86130000,0.160000,,,,0.491,,,0,294.023010,45.853081,,,6345.00,1.16,1.10,,,,,,-0.076,,,,2012
Kepler-31,c,Transit,42.63180000,0.260000,,4.70000,,0.473,,,0,294.023010,45.853081,,,6345.00,1.16,1.10,,,,,,-0.076,,,,2012
Kepler-32,b,Transit,5.90124000,0.050000,,4.10000,,0.196,,,0,297.842407,46.574280,,,3911.00,,0.54,,,,,,0.172,,,,2012
Kepler-32,c,Transit,8.75220000,0.090000,,0.50000,,0.178,,,0,297.842407,46.574280,,,3911.00,,0.54,,,,,,0.172,,,,2012
Kepler-33,b,Transit,5.66793000,0.067700,0.000000,,,0.155,,86.390,0,289.077545,46.005222,,,5904.00,1.29,1.82,,,,,,-0.316,,,,2012
Kepler-33,c,Transit,13.17562000,0.118900,0.000000,,,0.285,,88.190,0,289.077545,46.005222,,,5904.00,1.29,1.82,,,,,,-0.316,,,,2012
Kepler-33,d,Transit,21.77596000,0.166200,0.000000,,,0.477,,88.710,0,289.077545,46.005222,,,5904.00,1.29,1.82,,,,,,-0.316,,,,2012
Kepler-33,e,Transit,31.78440000,0.213800,0.000000,,,0.359,,88.940,0,289.077545,46.005222,,,5904.00,1.29,1.82,,,,,,-0.316,,,,2012
Kepler-33,f,Transit,41.02902000,0.253500,0.000000,,,0.398,,89.170,0,289.077545,46.005222,,,5904.00,1.29,1.82,,,,,,-0.316,,,,2012
Kepler-34,b,Transit,288.82200000,1.089600,0.182000,0.22000,,0.764,0.61300,90.355,0,296.435822,44.641560,,,5706.00,,1.03,,,,,,-0.263,,,,2012
Kepler-35,b,Transit,131.45800000,0.603470,0.042000,0.12700,,0.728,0.41000,90.760,0,294.496979,46.689762,,,5359.00,,0.67,,,,,,-0.603,,,,2012
Kepler-36,b,Transit,13.83989000,0.115300,0.039000,0.01400,,0.133,7.46000,90.010,0,291.250183,49.231827,470.00,,5911.00,1.07,1.63,,,,,0.462,,,,,2012
Kepler-36,c,Transit,16.23855000,0.128300,0.033000,0.02500,,0.328,0.89000,89.980,0,291.250183,49.231827,470.00,,5911.00,1.07,1.63,,,,,0.462,,,,,2012
Kepler-38,b,Transit,105.59900000,0.463200,0.032000,,0.38400,0.384,,89.442,0,286.830353,42.279205,600.00,,5623.00,0.94,1.75,,,,4.40,,-0.110,,,122.00000,2012
Kepler-39,b,Transit,21.08740000,0.155000,0.121000,18.00000,,1.220,12.40000,88.830,0,296.960266,46.034298,1200.00,,6260.00,1.10,1.39,,,-0.10,,,-0.181,,,,2011
Kepler-4,b,Transit,3.21346000,0.045600,0.000000,0.07700,,0.357,1.91000,89.760,0,285.615326,50.135754,,,5858.00,,1.27,,,,,,-0.085,,,,2010
Kepler-40,b,Transit,6.87349000,0.080000,0.000000,2.20000,,1.170,1.68000,89.700,0,296.813690,47.526608,2700.00,,6510.00,1.48,2.13,,,6.57,,,-0.145,,,,2011
Kepler-41,b,Transit,1.85555800,0.030000,0.000000,0.55000,,0.890,1.10000,88.300,0,294.513214,45.981644,770.00,,5620.00,1.12,1.02,,,-27.07,,,0.096,,,,2011
Kepler-42,b,Transit,1.21376720,0.011600,,,,0.070,,,0,292.219025,44.619160,38.70,,3068.00,0.13,0.17,,,,,-2.620,,,,,2012
Kepler-42,c,Transit,0.45328509,0.006000,,,,0.065,,,0,292.219025,44.619160,38.70,,3068.00,0.13,0.17,,,,,-2.620,,,,,2012
Kepler-42,d,Transit,1.86516900,0.015400,,,,0.051,,,0,292.219025,44.619160,38.70,,3068.00,0.13,0.17,,,,,-2.620,,,,,2012
Kepler-43,b,Transit,3.02409500,0.044900,0.025000,3.23000,,1.200,2.33000,84.350,0,285.240845,46.668255,1950.00,,6041.00,1.32,1.42,,,-37.59,,,0.178,,,,2011
Kepler-44,b,Transit,3.24674000,0.045500,0.021000,1.02000,,1.240,0.65000,83.780,0,300.102356,45.762142,2250.00,,5757.00,1.19,1.52,,,-35.89,,,-0.104,,,,2011
Kepler-45,b,Transit,2.45523900,0.030000,0.110000,0.50500,,0.960,0.80000,87.000,0,292.872894,41.064262,333.00,,3820.00,0.59,0.55,,,,,,0.234,,,,2011
Kepler-46,b,Transit,33.60134000,0.196800,0.010000,6.00000,,0.808,14.00000,89.038,0,289.268738,42.604176,855.00,,5155.00,0.90,0.94,,,,,-0.255,-0.110,,,,2012
Kepler-46,c,Transit,57.01100000,0.279900,0.014600,0.37600,,,,87.400,0,289.268738,42.604176,855.00,,5155.00,0.90,0.94,,,,,-0.255,-0.110,,,,2012
Kepler-47,b,Transit,49.53200000,0.296200,0.035000,2.00000,,0.270,,89.700,0,295.297913,46.920467,,,5636.00,1.04,0.96,,,,,-0.076,-0.252,,,,2012
Kepler-47,c,Transit,303.13700000,0.991000,0.411000,28.00000,,0.411,,89.825,0,295.297913,46.920467,,,5636.00,1.04,0.96,,,,,-0.076,-0.252,,,,2012
Kepler-48,b,Transit,4.77798030,,,5.94000,,0.191,,,0,299.139221,40.949020,,,5190.00,0.89,0.89,,,,,,-0.216,,,,2012
Kepler-48,c,Transit,9.67392830,,,11.61000,,0.280,,,0,299.139221,40.949020,,,5190.00,0.89,0.89,,,,,,-0.216,,,,2012
Kepler-49,b,Transit,7.20379450,,,0.98000,,0.243,,,0,292.294586,40.591801,,,3974.00,0.55,0.53,,,,,,-0.151,,,,2012
Kepler-49,c,Transit,10.91293430,,,0.72000,,0.227,,,0,292.294586,40.591801,,,3974.00,0.55,0.53,,,,,,-0.151,,,,2012
Kepler-5,b,Transit,3.54846000,0.050640,0.024000,2.11400,,1.431,0.89400,86.300,0,299.407013,44.035046,,,6297.00,,2.02,,,,,,,,,,2010
Kepler-50,b,Transit,7.81251240,,,0.10000,,0.196,,,0,288.100861,50.033718,,,6058.00,1.23,1.88,,,,,,-0.354,,,,2012
Kepler-50,c,Transit,9.37613680,,,0.11000,,0.249,,,0,288.100861,50.033718,,,6058.00,1.23,1.88,,,,,,-0.354,,,,2012
Kepler-51,b,Transit,45.15550230,,,3.23000,,0.629,,,0,296.479767,49.937683,,,5803.00,1.00,0.91,,,,,,-0.079,,,,2012
Kepler-51,c,Transit,85.31286620,,,2.60000,,0.509,,,0,296.479767,49.937683,,,5803.00,1.00,0.91,,,,,,-0.079,,,,2012
Kepler-52,b,Transit,7.87735650,,,8.70000,,0.187,,,0,286.738037,49.975750,,,4075.00,0.54,0.52,,,,,,-0.289,,,,2012
Kepler-52,c,Transit,16.38500210,,,10.41000,,0.164,,,0,286.738037,49.975750,,,4075.00,0.54,0.52,,,,,,-0.289,,,,2012
Kepler-53,b,Transit,18.64895250,,,18.41000,,0.258,,,0,290.461761,40.562462,,,5858.00,0.98,0.89,,,,,,-0.204,,,,2012
Kepler-53,c,Transit,38.55830380,,,15.74000,,0.283,,,0,290.461761,40.562462,,,5858.00,0.98,0.89,,,,,,-0.204,,,,2012
Kepler-54,b,Transit,8.01094340,,,0.92000,,0.187,,,0,294.773926,43.056293,,,3705.00,0.51,0.50,,,,,,-0.036,,,,2012
Kepler-54,c,Transit,12.07172490,,,0.37000,,0.110,,,0,294.773926,43.056293,,,3705.00,0.51,0.50,,,,,,-0.036,,,,2012
Kepler-55,b,Transit,27.94814490,,,1.49000,,0.217,,,0,285.168335,44.026466,,,4362.00,0.62,0.58,,,,,,-0.201,,,,2012
Kepler-55,c,Transit,42.15164180,,,1.11000,,0.197,,,0,285.168335,44.026466,,,4362.00,0.62,0.58,,,,,,-0.201,,,,2012
Kepler-56,b,Transit,10.50342940,,,5.12000,,0.343,,,0,293.758362,41.871868,,,4931.00,1.37,3.14,,,,,,0.156,,,,2012
Kepler-56,c,Transit,21.40504840,,,12.18000,,0.700,,,0,293.758362,41.871868,,,4931.00,1.37,3.14,,,,,,0.156,,,,2012
Kepler-57,b,Transit,5.72931960,,,18.86000,,0.195,,,0,293.641296,44.657040,,,5145.00,0.83,0.73,,,,,,-0.045,,,,2012
Kepler-57,c,Transit,11.60925670,,,6.95000,,0.138,,,0,293.641296,44.657040,,,5145.00,0.83,0.73,,,,,,-0.045,,,,2012
Kepler-58,b,Transit,10.21849540,,,1.39000,,0.248,,,0,296.358643,39.115192,,,5843.00,0.95,1.03,,,,,,-0.120,,,,2012
Kepler-58,c,Transit,15.57415680,,,2.19000,,0.255,,,0,296.358643,39.115192,,,5843.00,0.95,1.03,,,,,,-0.120,,,,2012
Kepler-59,b,Transit,11.86817070,,,2.05000,,0.098,,,0,287.039490,46.640129,,,6074.00,1.04,0.94,,,,,,-0.253,,,,2012
Kepler-59,c,Transit,17.98012350,,,1.37000,,0.177,,,0,287.039490,46.640129,,,6074.00,1.04,0.94,,,,,,-0.253,,,,2012
Kepler-6,b,Transit,3.23472300,0.045670,0.000000,0.66900,,1.323,0.35200,86.800,0,296.837250,48.239964,,,5826.00,,1.08,,,,,,,,,,2010
Kepler-60,b,Transit,7.13161850,,,0.25000,,0.203,,,0,288.961243,42.265011,,,5915.00,1.11,1.50,,,,,,-0.116,,,,2012
Kepler-60,c,Transit,8.91934590,,,0.56000,,0.220,,,0,288.961243,42.265011,,,5915.00,1.11,1.50,,,,,,-0.116,,,,2012
Kepler-60,d,Transit,11.90161710,,,0.68000,,0.227,,,0,288.961243,42.265011,,,5915.00,1.11,1.50,,,,,,-0.116,,,,2012
Kepler-7,b,Transit,4.88552500,0.062240,0.000000,0.43300,,1.478,0.16600,86.500,0,288.581512,41.089798,,,5934.00,,1.78,,,,,,0.052,,,,2010
Kepler-8,b,Transit,3.52254000,0.048300,0.000000,0.60300,,1.419,0.26100,84.070,0,281.288116,42.451080,,,6025.00,,1.56,,,-52.30,,,0.000,,,,2010
Kepler-9,b,Transit,19.24000000,0.140000,0.150000,0.25200,,0.842,0.52400,,1,285.573975,38.400894,,,5777.00,,1.01,,,,,,0.170,,,,2010
Kepler-9,c,Transit,38.91000000,0.225000,0.130000,0.17100,,0.823,0.38300,,1,285.573975,38.400894,,,5777.00,,1.01,,,,,,0.170,,,,2010
Kepler-9,d,Transit Timing Variations,1.59285100,0.027300,,,,0.146,,,1,285.573975,38.400894,,,5777.00,,1.01,,,,,,0.170,,,,2011
LKCA 15,b,Imaging,40000.00000000,,,6.00000,,,,,0,69.824150,22.350967,,,,,,,,,,,,,,,2011
Lupus-TR-3,b,Transit,3.91405000,0.046400,0.000000,0.81000,,0.890,1.40000,88.300,0,232.577576,-42.979908,2000.00,,5000.00,0.87,0.82,,,,,,,,,,2007
MOA 2007-BLG-192L,b,Microlensing,,,,0.01000,,,,,0,272.015825,-27.150075,,,,,,,,,,,,,,,2008
MOA 2007-BLG-400L,b,Microlensing,,,,0.90000,,,,,0,272.424917,-29.224153,,,,,,,,,,,,,,,2008
MOA 2008-BLG-310L,b,Microlensing,,,,0.23000,,,,,0,268.560542,-34.778053,,,,,,,,,,,,,,,2009
MOA 2009-BLG-266L,b,Microlensing,2780.00000000,,,0.03270,,,,,0,267.008125,-35.005411,,,,,,,,,,,,,,,2011
MOA 2009-BLG-319L,b,Microlensing,,,,0.15700,,,,,0,271.742208,-26.819692,,,,,,,,,,,,,,,2010
MOA 2009-BLG-387L,b,Microlensing,1970.00000000,,,2.60000,,,,,0,268.461625,-33.990333,,,,,,,,,,,,,,,2011
MOA 2010-BLG-477L,b,Microlensing,,2.000000,,1.50000,,,,,0,271.531006,-31.454477,2300.00,,5950.00,0.67,,,,,,,,,,,2012
NGC 4349 127,b,Radial Velocity,677.80000000,2.380000,0.190000,,19.80000,,,,0,186.030838,-61.870178,,,,,,,,,,,,,,6292.76890,2007
NN Ser,c,Eclipse Timing Variations,5660.00000000,5.380000,,6.91000,,,,,0,238.233871,12.912411,,,,,,,,,,,,,,,2010
NN Ser,d,Eclipse Timing Variations,2830.00000000,3.390000,,2.28000,,,,,0,238.233871,12.912411,,,,,,,,,,,,,,,2009
NY Vir,b,Eclipse Timing Variations,2900.00000000,3.300000,,2.30000,,,,,0,204.700623,-2.030315,,,,,,,,,,,,,,,2011
OGLE 2003-BLG-235L,b,Microlensing,,,,2.60000,,,,,0,270.318125,-28.895000,,,,,,,,,,,,,,,2004
OGLE 2005-BLG-169L,b,Microlensing,3300.00000000,,,0.04000,,,,,0,271.522167,-30.732639,,,,,,,,,,,,,,,2005
OGLE 2005-BLG-390L,b,Microlensing,3500.00000000,,,0.01700,,,,,0,268.579958,-30.377306,,,,,,,,,,,,,,,2005
OGLE 2005-BLG-71L,b,Microlensing,3600.00000000,,,3.80000,,,,,0,267.540708,-34.673194,,,,,,,,,,,,,,,2005
OGLE 2006-BLG-109L,b,Microlensing,1825.00000000,,,0.71000,,,,,0,268.143792,-30.087778,,,,,,,,,,,,,,,2008
OGLE 2006-BLG-109L,c,Microlensing,5100.00000000,,0.110000,0.27000,,,,59.000,0,268.143792,-30.087778,,,,,,,,,,,,,,,2008
OGLE 2007-BLG-368L,b,Microlensing,,,,0.06940,,,,,0,269.108167,-32.237417,,,,,,,,,,,,,,,2008
OGLE-TR-056,b,Transit,1.21191096,0.019420,0.000000,1.39000,,1.378,0.68000,73.720,0,269.147958,-29.539222,,15.300,6050.00,1.23,1.36,,,,3.80,0.350,,,,,2002
OGLE-TR-10,b,Transit,3.10127800,0.043400,,0.62000,,1.250,0.40000,90.000,0,267.867708,-29.876361,,14.930,5950.00,1.14,1.17,,,-6.25,4.20,0.188,,,,,2004
OGLE-TR-111,b,Transit,4.01610000,0.046890,,0.55000,,1.051,0.59000,88.250,0,163.324625,-61.405639,,15.550,5040.00,0.85,0.83,,,25.15,5.20,-0.397,,,,,2004
OGLE-TR-113,b,Transit,1.43247520,0.022890,,1.26000,,1.093,1.20000,87.800,0,163.101667,-61.446806,600.00,14.420,4790.00,0.78,0.77,,,-7.94,5.40,-0.529,,,,,2004
OGLE-TR-132,b,Transit,1.68986800,0.030350,,1.18000,,1.200,0.85000,83.400,0,162.644667,-61.957194,2500.00,15.720,6210.00,1.30,1.32,,,,3.50,0.371,,,,,2004
OGLE-TR-182,b,Transit,3.97910000,0.051000,0.000000,1.01000,,1.130,,85.700,0,167.327957,-61.095257,,,5924.00,1.14,1.14,,,,,,,,,,2007
OGLE-TR-211,b,Transit,3.67724000,0.051000,0.000000,1.03000,,1.360,,87.200,0,160.059952,-62.455601,,,6325.00,1.33,1.64,,,,,,,,,,2007
OGLE2-TR-L9,b,Transit,2.48553350,0.030800,,4.50000,,1.610,,79.800,0,166.979919,-61.146263,,,6933.00,1.52,1.53,,,,,,,,,,2007
Oph 11,b,Imaging,730000.00000000,,,21.00000,,,,,0,245.605057,-24.087208,,,,,,,,,,,,,,,2012
PSR B1257+12,b,Pulsar Timing,25.26200000,0.190000,0.000000,0.00007,,,,,0,195.014903,12.682353,,,,,,,,,,,,,,,1992
PSR B1257+12,c,Pulsar Timing,66.54190000,0.360000,0.018600,0.01300,,,,53.000,0,195.014903,12.682353,,,,,,,,,,,,,,,1992
PSR B1257+12,d,Pulsar Timing,98.21140000,0.460000,0.025200,0.01200,,,,47.000,0,195.014903,12.682353,,,,,,,,,,,,,,,1992
PSR B1620-26,b,Pulsar Timing,36525.00000000,23.000000,,2.50000,,,,55.000,0,245.909262,-26.531594,,,,,,,,,,,,,,,1994
Pr0201,b,Radial Velocity,4.42640000,,0.000000,0.54000,,,,,0,130.432602,20.226891,,,6174.00,1.23,1.17,,,,,,,,,,2012
Pr0211,b,Radial Velocity,2.14510000,,0.000000,1.84400,,,,,0,130.547882,19.277044,,,5326.00,0.95,0.87,,,,,,,,,,2012
Qatar-1,b,Transit,1.42003300,0.023430,0.000000,1.09000,,1.164,0.91800,83.470,0,303.381683,65.162041,,,4861.00,0.85,0.82,,,-37.84,,,,,,,2010
Qatar-2,b,Transit,1.33711820,0.021490,0.000000,2.48700,,1.144,2.20800,88.300,0,207.655869,-6.804028,,,4645.00,0.74,0.71,,,,,,,,,,2011
SR 12 AB,c,Imaging,,,,13.00000,,,,,0,246.831299,-24.694553,,,,,,,,,,,,,,,2011
SWEEPS-11,b,Transit,1.79600000,0.030000,,9.70000,,1.130,,,0,269.758333,-29.198194,8500.00,,,1.10,1.45,,,,,,,,,,2006
SWEEPS-4,b,Transit,4.20000000,0.055000,,3.80000,,0.810,,,0,269.724667,-29.189056,8500.00,,,1.24,1.18,,,,,,,,,,2006
TrES-1,b,Transit,3.03006500,0.039250,0.000000,0.75200,,1.067,0.76900,90.000,0,286.041017,36.632649,152.30,11.790,5230.00,0.88,0.81,,,,5.00,-0.359,,,,,2004
TrES-2,b,Transit,2.47063000,0.035560,0.000000,1.19900,,1.272,0.77000,83.620,0,286.808477,49.316407,213.00,11.411,5850.00,0.98,1.00,,,,4.00,0.025,-0.139,,,,2006
TrES-3,b,Transit,1.30618581,0.022820,0.000000,1.91000,,1.336,0.99400,81.850,0,268.029292,37.546139,228.00,12.402,5650.00,0.93,0.83,,,,4.40,-0.204,,,,,2007
TrES-4,b,Transit,3.55394500,0.050910,0.000000,0.91900,,1.799,0.20900,82.860,0,268.304407,37.211769,492.00,11.592,6200.00,1.40,1.85,,,,3.80,0.656,,,,,2007
TrES-5,b,Transit,1.48224460,0.024460,0.000000,1.77800,,1.209,1.25000,84.529,0,305.221832,59.448788,360.00,,5171.00,0.89,0.87,,,,,,,,,,2011
UScoCTIO 108,b,Imaging,,,,14.00000,,,,,0,241.475327,-18.312332,,,,,,,,,,,,,,,2007
V391 Peg,b,Pulsar Timing,1170.00000000,1.700000,0.000000,3.20000,,,,,0,331.050440,26.418860,,,,,,,,,,,,,,,2007
WASP-1,b,Transit,2.51994490,,0.000000,0.91800,,1.514,0.32800,88.650,0,5.166984,31.989943,408.00,11.790,6110.00,1.30,1.52,,,-13.50,3.70,0.459,,,,,2006
WASP-10,b,Transit,3.09276160,0.037810,,3.15000,,1.030,3.91000,89.500,0,348.992920,31.462852,90.00,,4675.00,0.75,0.70,,,-11.44,,,,,,,2008
WASP-11,b,Transit,3.72247470,0.043500,0.000000,0.48700,,1.005,0.59400,88.600,0,47.368965,30.673594,121.70,,4980.00,0.83,0.79,,,3.95,,-0.469,,,,,2008
WASP-12,b,Transit,1.09142300,0.022900,0.049000,1.41000,,1.790,0.24000,83.100,0,97.636642,29.672291,,,6300.00,1.35,1.57,,,19.08,,,,,,,2008
WASP-13,b,Transit,4.35301100,0.053620,0.000000,0.47700,,1.389,0.22200,85.190,0,140.102982,33.882439,155.00,,5826.00,1.09,1.56,,,9.83,,,,,,,2008
WASP-14,b,Transit,2.24375200,0.036000,0.091000,7.34100,,1.281,4.65600,84.320,0,218.276474,21.894714,160.00,,6475.00,1.21,1.31,,,-4.99,,,,,,,2008
WASP-15,b,Transit,3.75206560,0.049900,0.000000,0.54200,,1.428,0.24700,85.500,0,208.927933,-32.159607,,,6300.00,1.18,1.48,,,-2.34,,0.490,,,,,2008
WASP-16,b,Transit,3.11860090,0.042100,0.000000,0.85500,,1.008,1.10400,85.220,0,214.683029,-20.275484,,,5700.00,1.02,0.95,,,-1.94,,,,,,,2009
WASP-17,b,Transit,3.73544170,0.051000,0.129000,0.49000,,1.740,0.12200,87.800,0,239.962311,-28.061733,400.00,,6550.00,1.20,1.38,,,-49.51,,,,,,,2009
WASP-18,b,Transit,0.94145299,0.020260,0.009200,10.43000,,1.165,8.78000,86.000,0,24.354311,-45.677887,100.00,9.303,6400.00,1.28,1.23,HD 10069,HIP 7562,3.20,3.60,,,,,,2009
WASP-19,b,Transit,0.78884000,0.016550,0.004600,1.16800,,1.386,0.58300,79.400,0,148.417007,-45.659191,250.00,,5500.00,0.97,0.99,,,20.79,,,,,,,2009
WASP-2,b,Transit,2.15222600,,0.000000,0.91400,,1.117,0.87000,84.800,0,307.725555,6.429536,165.80,11.980,5200.00,0.89,0.84,,,-27.86,5.10,-0.328,,,,,2006
WASP-21,b,Transit,4.32248200,0.052000,0.000000,0.30000,,1.070,0.31900,88.750,0,347.492706,18.396086,242.00,,5800.00,1.01,1.06,,,-89.45,,,,,,,2010
WASP-22,b,Transit,3.53273130,0.046980,0.000000,0.58800,,1.158,0.50300,88.260,0,52.818043,-23.819702,300.00,,5958.00,1.11,1.22,,,-7.19,,,,,,,2010
WASP-23,b,Transit,2.94442560,0.037600,0.062000,0.88400,,0.962,,88.390,0,101.127586,-42.761826,,,5150.00,0.78,0.77,,,,,,,,,,2011
WASP-24,b,Transit,2.34121242,0.036510,0.000000,1.07100,,1.300,0.64800,83.640,0,227.215591,2.343304,,,6075.00,1.18,1.33,,,-17.90,,,,,,,2010
WASP-25,b,Transit,3.76482500,0.047300,0.000000,0.58000,,1.220,0.42200,88.000,0,195.359879,-27.522200,,,5703.00,1.00,0.92,,,-2.63,,,,,,,2010
WASP-26,b,Transit,2.75660040,0.039850,0.000000,1.02800,,1.281,0.64900,82.910,0,4.602897,-15.267305,250.00,,5939.00,1.11,1.30,,,8.46,,,,,,,2010
WASP-28,b,Transit,3.40882100,0.045500,0.046000,0.91000,,1.120,,89.100,0,353.616150,-1.580064,,,,,,,,,,,,,,,2010
WASP-29,b,Transit,3.92272700,0.045700,0.030000,0.24400,,0.792,0.65000,88.800,0,357.879547,-39.906719,70.00,,4800.00,0.82,0.81,,,24.53,,,,,,,2010
WASP-3,b,Transit,1.84683500,0.031510,0.000000,1.76000,,1.290,1.03700,84.930,0,278.631805,35.661533,220.00,,6400.00,1.24,1.31,,,-5.49,,,,,,,2007
WASP-31,b,Transit,3.40590960,0.046590,0.000000,0.47800,,1.549,0.17200,84.410,0,169.439026,-19.054773,360.00,,6302.00,1.16,1.25,,,,,,,,,,2010
WASP-32,b,Transit,2.71865900,0.039400,0.018000,3.60000,,1.180,2.92600,85.300,0,3.961682,1.200451,,,6100.00,1.10,1.11,,,18.28,,,,,,,2010
WASP-33,b,Transit,1.21986690,0.025550,,4.10000,,1.497,,87.670,0,36.712746,37.550484,116.00,8.142,7430.00,1.50,1.44,HD 15082,HIP 11397,,2.50,,,,,,2010
WASP-34,b,Transit,4.31767820,0.052400,0.038000,0.59000,,1.220,0.45200,85.200,0,165.399567,-23.860636,120.00,,5700.00,1.01,0.93,,,49.94,,,,,,,2010
WASP-35,b,Transit,3.16157500,0.043170,0.000000,0.72000,,1.320,0.42600,87.960,0,76.081779,-6.229821,,,5990.00,1.07,1.09,,,17.72,,,,,,,2011
WASP-36,b,Transit,1.53736530,0.026430,0.000000,2.30300,,1.281,1.45800,83.610,0,131.580399,-8.026946,450.00,,5959.00,1.04,0.95,,,-13.22,,,,,,,2010
WASP-37,b,Transit,3.57746900,0.044600,0.000000,1.80000,,1.160,1.53000,88.820,0,221.943985,1.064966,343.00,,5800.00,0.93,1.00,,,,,-0.021,,,,,2010
WASP-38,b,Transit,6.87181500,0.075220,0.031400,2.69100,,1.094,2.74000,88.690,0,243.959839,10.032566,110.00,,6150.00,1.20,1.33,HD 146389,,,,,,,,,2010
WASP-39,b,Transit,4.05525900,0.048600,0.000000,0.28000,,1.270,0.18600,87.830,0,217.326706,-3.444534,230.00,,5400.00,0.93,0.90,,,-58.48,,,,,,,2011
WASP-4,b,Transit,1.33823187,0.023120,0.000000,1.23700,,1.413,0.77400,88.800,0,353.562836,-42.061428,300.00,,5500.00,0.93,0.91,,,57.74,,-0.166,,,,,2007
WASP-41,b,Transit,3.05240100,0.040200,0.000000,0.92000,,1.200,0.66500,87.700,0,190.618729,-30.639870,180.00,,5450.00,0.93,0.90,,,3.28,,,,,,,2010
WASP-42,b,Transit,4.98168720,0.054800,0.060000,0.50000,,1.080,0.52800,88.250,0,192.981552,-42.073608,160.00,,5200.00,0.88,0.86,,,,,,,,,,2012
WASP-43,b,Transit,0.81347500,0.014200,0.000000,1.78000,,0.930,2.93900,82.600,0,154.908371,-9.806276,80.00,,4400.00,0.58,0.60,,,-3.59,,,,,,,2011
